id,custom_date,master_development,sub_loc_1,sub_loc_2,sub_loc_3,sub_loc_4,total_sales_price_val,sales_price_sqft_unit,sales_price_sqm_unit,unit_size_sqft,unit_size_sqm,unit_type,no_beds,custom_view,maid,study,balcony,plot_size_sqft,plot_size_sqm,developer_type,floor_level,evdnc_name,comments,dev_name,unit_no,sale_sequence,data_source,months_since_start,month,year_month,annual_service_charge,is_park_facing,is_pool_adjacent,is_corner_unit,is_single_row,is_end_unit,is_near_amenities,is_road_facing,is_brand_new,is_motivated_seller,is_hot_deal,has_big_plot,has_mortgage_mention,is_upgraded,is_rented,unit_subtype,unit_position,has_maid_room,plot_to_unit_ratio,is_g_plus_2,is_resale,beds_numeric,park_label,corner_label,row_label
10939593,2025-08-15,Mudon,Al Ranim,Al Ranim 1,,,3325000,1500,16141,2217,206.0,Townhouse,3.0,,,,,1808.0,168.0,,G+1,Active Listings,G+1 | Close to Park | Handed over,Dubai Properties,,,listing,6.2,2025-08,2025-08,6872.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unknown,0,0.8155164636896707,0,0,3.0,Not Park Facing,Non-Corner,Non-Single Row
10914685,2025-08-18,Mudon,Al Ranim,Al Ranim 1,,,3100000,1398,15049,2217,206.0,Townhouse,3.0,,,,,,,,G+1,Active Listings,Prime Location |Motivated Seller| Facing Pool |3BR,Dubai Properties,,,listing,6.3,2025-08,2025-08,6872.7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,unknown,0,,0,0,3.0,Not Park Facing,Non-Corner,Non-Single Row
10883188,2025-09-16,Mudon,Al Ranim,Al Ranim 1,,,3700000,1441,15510,2568,238.55,Townhouse,3.0,,,,,1808.0,168.0,,G+2,Active Listings,Genuine | Contemporary Living | Move In Soon,Dubai Properties,,,listing,7.3,2025-09,2025-09,7960.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unknown,0,0.7040498442367601,1,0,3.0,Not Park Facing,Non-Corner,Non-Single Row
10812921,2025-08-08,Mudon,Al Ranim,Al Ranim 1,,,3300000,1488,16019,2217,206.0,Townhouse,3.0,,,,,,,,G+1,Active Listings,Premium Locations | 3 Bedroom G+1 | Brand New,Dubai Properties,,,listing,6.0,2025-08,2025-08,6872.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,unknown,0,,0,0,3.0,Not Park Facing,Non-Corner,Non-Single Row
12097218,2025-11-19,Mudon,Al Ranim,Al Ranim 1,,,3400000,1534,16505,2217,206.0,Townhouse,3.0,,,,,,,,G+1,Active Listings,BRAND NEW/ON PRIME LOCATION/NEAR TO THE AMANITIES/GOOD FOR LIVING/PLEASE ONLY SEREOUS BUYER CONTACT,Dubai Properties,,,listing,9.4,2025-11,2025-11,6872.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,unknown,0,,0,0,3.0,Not Park Facing,Non-Corner,Non-Single Row
10748594,2025-07-25,Mudon,Al Ranim,Al Ranim 1,,,3200000,1443,15534,2217,206.0,Townhouse,3.0,,,,,1808.0,167.99,,G+1,Active Listings,Genuine Resale | Handover Soon | Single Row,Dubai Properties,,,listing,5.6,2025-07,2025-07,6872.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,unknown,0,0.8155164636896707,0,0,3.0,Not Park Facing,Non-Corner,Single Row
10688790,2025-07-07,Mudon,Al Ranim,Al Ranim 1,,,3100000,1398,15049,2217,206.0,Townhouse,3.0,,,,,,,,G+1,Active Listings,Type 3B1 | Opposite to Park | Genuine Resale,Dubai Properties,,,listing,5.0,2025-07,2025-07,6872.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unknown,0,,0,0,3.0,Not Park Facing,Non-Corner,Non-Single Row
10411622,2025-06-17,Mudon,Al Ranim,Al Ranim 1,,,3200000,1443,15534,2217,206.0,Townhouse,3.0,,,,,1916.0,177.99,,G+1,Active Listings,FINANCE PRE-APPROVED BUYER WELCOME | SINGLE ROW,Dubai Properties,,,listing,4.3,2025-06,2025-06,6872.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,unknown,0,0.8642309427153811,0,0,3.0,Not Park Facing,Non-Corner,Single Row
10320339,2025-05-17,Mudon,Al Ranim,Al Ranim 1,,,4000000,1549,16667,2582,240.0,Townhouse,4.0,,,,,,,,G+1,Active Listings,G+2 | 4Beds+M | Ready June 2025 | Cash Buyer Only,Dubai Properties,,,listing,3.3,2025-05,2025-05,8004.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unknown,0,,0,0,4.0,Not Park Facing,Non-Corner,Non-Single Row
11052589,2025-09-16,Mudon,Al Ranim,Al Ranim 1,,,3450000,1556,16748,2217,206.0,Townhouse,3.0,,,,,1808.0,168.0,,G+1,Active Listings,Motivated Seller|Fully Fitted Kitchen| Park Facing,Dubai Properties,,,listing,7.3,2025-09,2025-09,6872.7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,unknown,0,0.8155164636896707,0,0,3.0,Park Facing,Non-Corner,Non-Single Row
