"id","custom_date","master_development","sub_loc_1","sub_loc_2","sub_loc_3","sub_loc_4","total_sales_price_val","sales_price_sqft_unit","sales_price_sqm_unit","unit_size_sqft","unit_size_sqm","unit_type","no_beds","custom_view","maid","study","balcony","plot_size_sqft","plot_size_sqm","developer_type","floor_level","evdnc_name","comments","dev_name","unit_no","sale_sequence"
"10893975","2025-08-11","Mudon","Al Ranim","Al Ranim 1","","","4450000","1746","18776","2549","237","Townhouse","4","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Multiple Options | On Park | Next to Entrance","Dubai Properties","",""
"10771834","2025-08-01","Mudon","Al Ranim","Al Ranim 1","","","3550000","1601","17233","2217","206","Townhouse","3","","NULL","NULL","","1808","168","NULL","G+1","Active Listings","Facing Pool and Park | Viewing Available","Dubai Properties","",""
"10710543","2025-07-15","Mudon","Al Ranim","Al Ranim 1","","","3200000","1443","15534","2217","206","Townhouse","3","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Single Row | Handover July | Best Location","Dubai Properties","",""
"10653723","2025-06-26","Mudon","Al Ranim","Al Ranim 1","","","3300000","1825","19643","1808","168","Townhouse","3","","NULL","NULL","","0","0","NULL","G+1","Active Listings","3BR + Maids TH| G+1| Handover Soon| Mudon| 50-50PP","Dubai Properties","",""
"10364840","2025-06-01","Mudon","Al Ranim","Al Ranim 1","","","3000000","1354","14563","2216","206","Townhouse","3","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Single Row| G+1 | Handover Soon","Dubai Properties","",""
"10196182","2025-03-17","Mudon","Al Ranim","Al Ranim 1","","","3000000","1659","17857","1808","168","Townhouse","3","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Handover in July 2025  | Pool Facing | Single Row","Dubai Properties","",""
"11770811","2025-11-04","Mudon","Al Ranim","Al Ranim 1","","","3275000","1477","15898","2217","206","Townhouse","3","","NULL","NULL","","1808","168","NULL","G+1","Active Listings","BRAND NEW | READY TO MOVE | MULTIPLE OPTIONS","Dubai Properties","",""
"10242960","2025-04-17","Mudon","Al Ranim","Al Ranim 1","","","3200000","1443","15534","2217","206","Townhouse","3","","NULL","NULL","","1916","177.99","","G+1","Active Listings","FINANCE PRE-APPROVED BUYER WELCOME | SINGLE ROW","Dubai Properties","",""
"11701177","2025-11-19","Mudon","Al Ranim","Al Ranim 1","","","3280000","1479","15922","2217","206","Townhouse","3","","NULL","NULL","","1859","172.67","NULL","G+1","Active Listings","Bigger Plot Size | Serious Seller | Brand New","Dubai Properties","",""
"11643071","2025-09-22","Mudon","Al Ranim","Al Ranim 1","","","3400000","1534","16505","2217","206","Townhouse","3","Community,Park","NULL","NULL","","1896","176.15","","G+1","Active Listings","Brand New | Park-Facing | Multiple Units Available","Dubai Properties","",""
"9109514","2025-09-16","Mudon","Al Ranim","Al Ranim 1","","","3800000","1480","15930","2567","238.55","Townhouse","3","Community,Park","","","","1808","168","Mid unit Type 3B2","G+2","Pending Sales (SPA/MOU)","","Dubai Properties","",""
"9092946","2025-09-11","Mudon","Al Ranim","Al Ranim 1","","","5000000","1962","21117","2548","236.78","Townhouse","4","","","","","4949","459.77","","G+1","Title Deed","","Dubai Properties","","Resale"
"10951567","2025-08-15","Mudon","Al Ranim","Al Ranim 1","","","3100000","1398","15049","2217","206","Townhouse","3","","NULL","NULL","","1894","175.96","NULL","G+1","Active Listings","GREAT LOCATION I 3BR G+1 I VASTU COMPLIANT","Dubai Properties","",""
"10892354","2025-09-04","Mudon","Al Ranim","Al Ranim 1","","","3150000","1421","15291","2217","206","Townhouse","3","","NULL","NULL","","1810","168.15","","G+1","Active Listings","Motivated Seller | 3B1 | Community Expert","Dubai Properties","",""
"12158284","2025-12-04","Mudon","Al Ranim","Al Ranim 1","","","3275000","1477","15898","2217","206","Townhouse","3","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Pool and Park View | Brand New | Family Living","Dubai Properties","",""
"10834554","2025-08-13","Mudon","Al Ranim","Al Ranim 1","","","4400000","1478","15902","2978","276.7","Townhouse","4","","NULL","NULL","","2613","242.8","Type 4B2","G+2","Active Listings","Motivated Seller| G+2| Multiple Units available","Dubai Properties","",""
"10771769","2025-08-01","Mudon","Al Ranim","Al Ranim 1","","","3100000","1398","15049","2217","206","Townhouse","3","","NULL","NULL","","1845","171.45","NULL","G+1","Active Listings","23 Resale Villas in Ranim 1 | Viewing Available","Dubai Properties","",""
"10705014","2025-07-14","Mudon","Al Ranim","Al Ranim 1","","","3500000","1195","12868","2928","272","Townhouse","4","","NULL","NULL","","0","0","NULL","G+1","Active Listings","LUXURY 4-BEDS| PRIME LOCATION | GOOD DEAL BIG PLOT","Dubai Properties","",""
"10644577","2025-06-23","Mudon","Al Ranim","Al Ranim 1","","","2950000","1331","14320","2217","206","Townhouse","3","Community,Road","NULL","NULL","","1878","174.43","NULL","G+1","Active Listings","Best Price | Genuine Resale | Maids | Backing Road","Dubai Properties","",""
"10361475","2025-05-30","Mudon","Al Ranim","Al Ranim 1","","","2950000","1632","17560","1808","168","Townhouse","3","","NULL","NULL","","0","0","NULL","G+1","Active Listings","PARK FACING | MULTIPLE OPTIONS | READY SOON","Dubai Properties","",""
"10240214","2025-04-16","Mudon","Al Ranim","Al Ranim 1","","","4500000","1511","16263","2978","276.7","Townhouse","4","","NULL","NULL","","3035","281.99","NULL","G+2","Active Listings","3 Floors | Park Backing | Corner Villa","Dubai Properties","",""
"10169776","2025-03-11","Mudon","Al Ranim","Al Ranim 1","","","2900000","1308","14078","2217","206","Townhouse","3","Community,Road,Walkway","NULL","NULL","","1872","173.96","NULL","G+1","Active Listings","Genuine Seller | Single Row | 3BR +M | Elegant Layout","Dubai Properties","",""
"11698725","2025-11-20","Mudon","Al Ranim","Al Ranim 1","","","4999999","1679","18070","2978","276.7","Townhouse","4","","NULL","NULL","","2613","242.8","Type 4B2","G+2","Active Listings","G+2 | Genuine Listing |Viewings Available","Dubai Properties","",""
"11664540","2025-10-25","Mudon","Al Ranim","Al Ranim 1","","","5000000","1679","18051","2978","277","Townhouse","4","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Big Layout | Prime Location | Corner Plot","Dubai Properties","",""
"11536992","2025-09-25","Mudon","Al Ranim","Al Ranim 1","","","4200000","1648","17738","2548","236.78","Townhouse","4","","NULL","NULL","","2666","247.69","","G+1","Active Listings","Park Backing | 4B1 | True Corner | Handed Over |","Dubai Properties","",""
"11032930","2025-09-25","Mudon","Al Ranim","Al Ranim 1","","","4400000","1108","11924","3971","369","Townhouse","4","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Big Plot I Single Row I Prime Location I H-O Soon","Dubai Properties","",""
"10097665","2025-02-06","Mudon","Al Ranim","Al Ranim 1","","","3100000","1208","13025","2567","238","Townhouse","3","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Urgent Sale|Genuine  | G+2|3BR+Maids | Park View","Dubai Properties","",""
"9045533","2025-07-22","Mudon","Al Ranim","Al Ranim 1","","","3200000","1443","15534","2217","206","Townhouse","3","Community,Walkway,Road","","","","1856","172.42","mid unit","G+1","Pending Sales (SPA/MOU)","","Dubai Properties","",""
"9089685","2025-09-08","Mudon","Al Ranim","Al Ranim 1","","","3250000","1466","15777","2217","206","Townhouse","3","Community,Walkway,Play area","","","","1871","173.84","","G+1","Title Deed","","Dubai Properties","","Resale"
